,date,name,value
538,2016-01-01,Trujillo Alto,68192
539,2016-01-01,Utuado,29523
540,2016-01-01,Vega Alta,38011
541,2016-01-01,Vega Baja,53659
542,2016-01-01,Vieques,8819
543,2016-01-01,Villalba,23099
544,2016-01-01,Yabucoa,34328
545,2016-01-01,Yauco,36676
546,2017-01-01,Adjuntas,17935
547,2017-01-01,Aguada,38018
548,2017-01-01,Aguadilla,52915
549,2017-01-01,Aguas Buenas,25828
550,2017-01-01,Aibonito,23054
551,2017-01-01,Añasco,26983
552,2017-01-01,Arecibo,85422
553,2017-01-01,Arroyo,17817
554,2017-01-01,Barceloneta,24161
555,2017-01-01,Barranquitas,28461
556,2017-01-01,Bayamón,178493
557,2017-01-01,Cabo Rojo,48614
558,2017-01-01,Caguas,129246
559,2017-01-01,Camuy,31685
560,2017-01-01,Canóvanas,45687
561,2017-01-01,Carolina,154124
562,2017-01-01,Cataño,24309
563,2017-01-01,Cayey,43893
564,2017-01-01,Ceiba,11543
565,2017-01-01,Ciales,16584
566,2017-01-01,Cidra,39727
567,2017-01-01,Coamo,38959
568,2017-01-01,Comerío,19278
569,2017-01-01,Corozal,33599
570,2017-01-01,Culebra,1770
571,2017-01-01,Dorado,36900
572,2017-01-01,Fajardo,31155
573,2017-01-01,Florida,11741
574,2017-01-01,Guánica,16340
575,2017-01-01,Guayama,41100
576,2017-01-01,Guayanilla,18539
577,2017-01-01,Guaynabo,87057
578,2017-01-01,Gurabo,47003
579,2017-01-01,Hatillo,40021
580,2017-01-01,Hormigueros,15978
581,2017-01-01,Humacao,52534
582,2017-01-01,Isabela,41770
583,2017-01-01,Jayuya,14601
584,2017-01-01,Juana Díaz,46275
585,2017-01-01,Juncos,38873
586,2017-01-01,Lajas,22863
587,2017-01-01,Lares,25726
588,2017-01-01,Las Marías,8387
589,2017-01-01,Las Piedras,37524
590,2017-01-01,Loíza,25845
591,2017-01-01,Luquillo,18255
592,2017-01-01,Manatí,38944
593,2017-01-01,Maricao,5631
594,2017-01-01,Maunabo,10798
595,2017-01-01,Mayagüez,75358
596,2017-01-01,Moca,36279
597,2017-01-01,Morovis,31031
598,2017-01-01,Naguabo,26110
599,2017-01-01,Naranjito,28184
600,2017-01-01,Orocovis,21026
601,2017-01-01,Patillas,16977
602,2017-01-01,Peñuelas,20411
603,2017-01-01,Ponce,139896
604,2017-01-01,Quebradillas,23655
605,2017-01-01,Rincón,14081
606,2017-01-01,Río Grande,49647
607,2017-01-01,Sabana Grande,22618
608,2017-01-01,Salinas,28244
609,2017-01-01,San Germán,31475
610,2017-01-01,San Juan,336090
611,2017-01-01,San Lorenzo,37278
612,2017-01-01,San Sebastián,37182
613,2017-01-01,Santa Isabel,21794
614,2017-01-01,Toa Alta,73068
615,2017-01-01,Toa Baja,77945
616,2017-01-01,Trujillo Alto,66490
617,2017-01-01,Utuado,28753
618,2017-01-01,Vega Alta,37068
619,2017-01-01,Vega Baja,52303
620,2017-01-01,Vieques,8650
621,2017-01-01,Villalba,22458
622,2017-01-01,Yabucoa,33468
623,2017-01-01,Yauco,35497
624,2018-01-01,Adjuntas,17302
625,2018-01-01,Aguada,36621
626,2018-01-01,Aguadilla,50598
627,2018-01-01,Aguas Buenas,24848
628,2018-01-01,Aibonito,22143
629,2018-01-01,Añasco,26031
630,2018-01-01,Arecibo,82114
631,2018-01-01,Arroyo,17169
632,2018-01-01,Barceloneta,23504
633,2018-01-01,Barranquitas,27476
634,2018-01-01,Bayamón,170480
635,2018-01-01,Cabo Rojo,47117
636,2018-01-01,Caguas,124434
637,2018-01-01,Camuy,30503
638,2018-01-01,Canóvanas,44296
639,2018-01-01,Carolina,147661
640,2018-01-01,Cataño,23244
641,2018-01-01,Cayey,42349
642,2018-01-01,Ceiba,11018
643,2018-01-01,Ciales,15918
644,2018-01-01,Cidra,38288
645,2018-01-01,Coamo,37845
646,2018-01-01,Comerío,18598
647,2018-01-01,Corozal,32320
648,2018-01-01,Culebra,1710
649,2018-01-01,Dorado,35779
650,2018-01-01,Fajardo,29699
651,2018-01-01,Florida,11329
652,2018-01-01,Guánica,15551
653,2018-01-01,Guayama,39521
654,2018-01-01,Guayanilla,17719
655,2018-01-01,Guaynabo,83787
656,2018-01-01,Gurabo,46068
657,2018-01-01,Hatillo,38826
658,2018-01-01,Hormigueros,15462
659,2018-01-01,Humacao,50532
660,2018-01-01,Isabela,40268
661,2018-01-01,Jayuya,13947
662,2018-01-01,Juana Díaz,44510
663,2018-01-01,Juncos,37723
664,2018-01-01,Lajas,21991
665,2018-01-01,Lares,24484
666,2018-01-01,Las Marías,7961
667,2018-01-01,Las Piedras,36458
668,2018-01-01,Loíza,24686
669,2018-01-01,Luquillo,17594
670,2018-01-01,Manatí,37393
671,2018-01-01,Maricao,5426
672,2018-01-01,Maunabo,10370
673,2018-01-01,Mayagüez,71986
674,2018-01-01,Moca,34909
675,2018-01-01,Morovis,30068
676,2018-01-01,Naguabo,25376
677,2018-01-01,Naranjito,27209
678,2018-01-01,Orocovis,20221
679,2018-01-01,Patillas,16310
680,2018-01-01,Peñuelas,19402
681,2018-01-01,Ponce,133191
682,2018-01-01,Quebradillas,22828
683,2018-01-01,Rincón,13627
684,2018-01-01,Río Grande,47889
685,2018-01-01,Sabana Grande,21741
686,2018-01-01,Salinas,27083
687,2018-01-01,San Germán,30229
688,2018-01-01,San Juan,320967
689,2018-01-01,San Lorenzo,35900
690,2018-01-01,San Sebastián,35652
691,2018-01-01,Santa Isabel,21037
692,2018-01-01,Toa Alta,71094
693,2018-01-01,Toa Baja,74623
694,2018-01-01,Trujillo Alto,63746
695,2018-01-01,Utuado,27545
696,2018-01-01,Vega Alta,35806
697,2018-01-01,Vega Baja,50185
698,2018-01-01,Vieques,8364
699,2018-01-01,Villalba,21476
700,2018-01-01,Yabucoa,32158
701,2018-01-01,Yauco,33860
702,2019-01-01,Adjuntas,17363
703,2019-01-01,Aguada,36694
704,2019-01-01,Aguadilla,50265
705,2019-01-01,Aguas Buenas,24814
706,2019-01-01,Aibonito,22108
707,2019-01-01,Añasco,26161
708,2019-01-01,Arecibo,81966
709,2019-01-01,Arroyo,17238
710,2019-01-01,Barceloneta,23727
711,2019-01-01,Barranquitas,27725
712,2019-01-01,Bayamón,169269
713,2019-01-01,Cabo Rojo,47515
714,2019-01-01,Caguas,124606
715,2019-01-01,Camuy,30504
716,2019-01-01,Canóvanas,44674
717,2019-01-01,Carolina,146984
718,2019-01-01,Cataño,23121
719,2019-01-01,Cayey,42409
720,2019-01-01,Ceiba,10904
721,2019-01-01,Ciales,15808
722,2019-01-01,Cidra,38307
723,2019-01-01,Coamo,38336
724,2019-01-01,Comerío,18648
725,2019-01-01,Corozal,32293
726,2019-01-01,Culebra,1714
727,2019-01-01,Dorado,36141
728,2019-01-01,Fajardo,29454
729,2019-01-01,Florida,11317
730,2019-01-01,Guánica,15383
731,2019-01-01,Guayama,39465
732,2019-01-01,Guayanilla,17623
733,2019-01-01,Guaynabo,83728
734,2019-01-01,Gurabo,47093
735,2019-01-01,Hatillo,39218
736,2019-01-01,Hormigueros,15518
737,2019-01-01,Humacao,50653
738,2019-01-01,Isabela,40423
739,2019-01-01,Jayuya,13891
740,2019-01-01,Juana Díaz,44679
741,2019-01-01,Juncos,38155
742,2019-01-01,Lajas,22010
743,2019-01-01,Lares,24276
744,2019-01-01,Las Marías,7927
745,2019-01-01,Las Piedras,37007
746,2019-01-01,Loíza,24553
747,2019-01-01,Luquillo,17665
748,2019-01-01,Manatí,37287
749,2019-01-01,Maricao,5430
750,2019-01-01,Maunabo,10321
751,2019-01-01,Mayagüez,71530
752,2019-01-01,Moca,34891
753,2019-01-01,Morovis,30335
754,2019-01-01,Naguabo,25761
755,2019-01-01,Naranjito,27349
756,2019-01-01,Orocovis,20220
757,2019-01-01,Patillas,16211
758,2019-01-01,Peñuelas,19249
759,2019-01-01,Ponce,131881
760,2019-01-01,Quebradillas,22918
761,2019-01-01,Rincón,13656
762,2019-01-01,Río Grande,48025
763,2019-01-01,Sabana Grande,21712
764,2019-01-01,Salinas,27128
765,2019-01-01,San Germán,30227
766,2019-01-01,San Juan,318441
767,2019-01-01,San Lorenzo,35989
768,2019-01-01,San Sebastián,35528
769,2019-01-01,Santa Isabel,21209
770,2019-01-01,Toa Alta,72025
771,2019-01-01,Toa Baja,74271
772,2019-01-01,Trujillo Alto,63674
773,2019-01-01,Utuado,27395
774,2019-01-01,Vega Alta,36061
775,2019-01-01,Vega Baja,50023
776,2019-01-01,Vieques,8386
777,2019-01-01,Villalba,21372
